GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lib,object.java.collections,List.Mapped,0,54,0,0,0,10,0,7,0,7
lib,object.java.collections,List.FlatMapped,0,52,0,0,0,13,0,6,0,6
lib,object.java.collections,Set.Empty,0,20,0,0,0,5,0,3,0,3
lib,object.java.collections,List.Empty,10,4,0,0,2,2,2,2,2,2
lib,object.java.collections,List.Par,6,124,0,0,1,25,0,13,0,13
lib,object.java.collections,List.Dequeued,1,44,1,5,0,16,1,6,0,4
lib,object.java.collections,List.Popped,0,68,1,5,0,19,1,8,0,6
lib,object.java.collections,List.Repeated,0,40,0,2,0,12,0,5,0,4
lib,object.java.collections,List.TailList,0,110,0,12,0,28,0,12,0,6
lib,object.java.collections,Map.Hashed,143,0,12,0,26,0,12,0,6,0
lib,object.java.collections,Map,33,0,10,0,6,0,8,0,3,0
lib,object.java.collections,List.Cons,25,87,8,6,3,23,6,7,0,6
lib,object.java.collections,Map.Empty,18,0,0,0,6,0,5,0,5,0
lib,object.java.collections,Set.Hashed,0,129,2,10,0,25,2,9,0,5
lib,object.java.collections,List.NonEmpty,11,79,9,13,1,16,9,7,0,5
lib,object.java.collections,List,0,99,1,5,0,19,1,15,0,13
lib,object.java.collections,Set,0,7,0,0,0,2,0,2,0,2
